City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,georgetown,5.4112,100.3354,82.33,77,20,6.91,MY,1706406772
83,champahati,22.3958,88.4847,55.38,50,0,4.92,IN,1706406856
84,gumaca,13.9197,122.1003,78.15,67,100,15.32,PH,1706406856
85,castlegar,49.2998,-117.6689,43.29,100,100,2.04,CA,1706406856
86,chonchi,-42.6128,-73.8092,56.32,77,100,3.18,CL,1706406776
87,ust-nera,64.5667,143.2,-38.9,98,74,6.26,RU,1706406777
88,laguna,38.421,-121.4238,60.08,76,0,0.0,US,1706406763
89,longyearbyen,78.2186,15.6401,22.84,74,40,28.77,SJ,1706406756
90,jutai,-5.1833,-68.9,74.53,98,100,1.5,BR,1706406857
91,remire-montjoly,4.9167,-52.2667,78.84,83,40,2.3,GF,1706406781
92,togur,58.3631,82.8265,6.15,97,100,4.0,RU,1706406857
93,revda,56.801,59.9303,8.69,96,100,3.24,RU,1706406857
94,wewak,-3.5534,143.6268,86.22,68,30,2.04,PG,1706406399
95,lompoc,34.6391,-120.4579,66.69,55,0,5.75,US,1706406667
96,preobrazheniye,42.9019,133.9064,24.19,49,4,0.36,RU,1706406858
97,cill airne,52.05,-9.5167,51.42,94,100,10.07,IE,1706406858
98,nelson bay,-32.7167,152.15,75.0,82,100,9.04,AU,1706406858
99,lebu,-37.6167,-73.65,58.15,86,12,17.94,CL,1706406772
100,nadym,65.5333,72.5167,13.57,94,100,8.63,RU,1706406858
101,utrik,11.2278,169.8474,77.5,63,100,8.86,MH,1706406776
102,arpacay,40.8487,43.3291,18.64,91,97,4.03,TR,1706406859
103,kristiansund,63.1115,7.732,41.65,87,100,9.22,NO,1706406810
104,geraldton,-28.7667,114.6,77.41,65,0,14.97,AU,1706406128
105,kangasniemi,61.9936,26.6479,28.42,93,100,11.01,FI,1706406859
106,san antonio oeste,-40.7319,-64.9477,72.93,48,0,17.02,AR,1706406859
107,nantucket,41.2835,-70.0995,35.71,80,20,8.05,US,1706406358
108,faya-largeau,17.9257,19.1043,59.61,35,86,14.23,TD,1706406860
109,jamestown,42.097,-79.2353,41.02,99,100,4.61,US,1706406191
110,jianshui,23.6363,102.8264,51.49,96,100,3.44,CN,1706406861
111,santa ana,33.7456,-117.8678,75.22,45,75,8.05,US,1706406720
112,saint-pierre,-21.3393,55.4781,76.68,94,75,3.44,RE,1706406778
113,zhumadian,32.9794,114.0294,42.91,39,35,4.7,CN,1706406861
114,talnakh,69.4865,88.3972,9.21,93,100,12.44,RU,1706406779
115,edinburgh of the seven seas,-37.0676,-12.3116,58.77,70,100,25.7,SH,1706406759
116,puerto ayora,-0.7393,-90.3518,79.3,79,91,5.79,EC,1706406773
117,mazamari,-11.3258,-74.5308,70.72,97,97,1.92,PE,1706406862
118,sinabang,2.4803,96.3801,81.18,78,99,1.43,ID,1706406797
119,bilibino,68.0546,166.4372,-17.48,100,100,4.99,RU,1706406763
120,albany,42.6001,-73.9662,37.81,82,100,0.87,US,1706406478
121,yellowknife,62.456,-114.3525,0.41,88,20,9.22,CA,1706406771
122,iqaluit,63.7506,-68.5145,-32.31,59,20,19.57,CA,1706406762
123,ulsteinvik,62.3432,5.8487,45.32,89,100,17.0,NO,1706406863
124,portland,45.5234,-122.6762,61.39,92,100,14.0,US,1706406582
125,carnarvon,-24.8667,113.6333,80.1,64,0,11.56,AU,1706406766
126,barra de santo antonio,-9.4047,-35.5072,79.88,87,96,9.66,BR,1706406864
127,stanley,54.868,-1.6985,42.28,83,0,5.75,GB,1706406763
128,tuy hoa,13.0833,109.3,73.83,85,92,12.15,VN,1706406417
129,susuman,62.7833,148.1667,-39.28,99,88,1.21,RU,1706406806
130,alexandria,31.2156,29.9553,54.14,59,95,9.19,EG,1706406865
131,fort st. john,56.2499,-120.8529,40.89,70,75,6.91,CA,1706406865
132,udachny,66.4167,112.4,-29.16,97,10,3.42,RU,1706406770
133,lorengau,-2.0226,147.2712,83.43,79,75,6.02,PG,1706406865
134,chilca,-12.5211,-76.7372,74.57,82,89,7.7,PE,1706406866
135,happy valley-goose bay,53.3168,-60.3315,26.91,80,75,10.36,CA,1706406813
136,havre,49.5833,0.3333,38.97,75,0,6.91,FR,1706406775
137,acapulco de juarez,16.8634,-99.8901,82.22,74,0,6.91,MX,1706406866
138,badger,64.8,-147.5333,-32.55,65,75,0.0,US,1706406789
139,altay,47.8667,88.1167,7.52,61,5,6.96,CN,1706406867
140,constantia,44.1833,28.65,32.7,84,96,14.79,RO,1706406782
141,port lincoln,-34.7333,135.8667,71.46,60,0,8.01,AU,1706406795
142,uffenheim,49.5333,10.25,34.93,90,0,4.61,DE,1706406867
143,mejit,10.2753,170.8646,77.02,73,100,12.24,MH,1706406768
144,bardai,11.65,7.2333,59.31,24,48,14.18,NG,1706406357
145,osprey,27.1962,-82.4904,73.44,95,0,9.22,US,1706406777
146,porto franco,-6.3383,-47.3992,73.36,92,100,3.74,BR,1706406868
147,iskateley,67.6803,53.1512,14.22,93,96,15.46,RU,1706406799
148,carutapera,-1.195,-46.02,79.32,83,87,6.67,BR,1706406868
149,tralee,52.2704,-9.7026,49.5,94,95,9.46,IE,1706406868
150,kuusamo,65.9667,29.1833,26.64,86,100,18.41,FI,1706406868
151,coronel moldes,-33.6227,-64.5971,71.67,36,88,11.77,AR,1706406373
152,olinda,-8.0089,-34.8553,83.93,74,40,6.91,BR,1706406779
153,olonkinbyen,70.9221,-8.7187,25.45,76,100,31.34,SJ,1706406756
154,penhalonga,-18.8911,32.6978,57.06,98,58,2.44,ZW,1706406869
155,kuala belait,4.5833,114.1833,77.16,75,82,10.38,BN,1706406869
156,conception bay south,47.4999,-52.9981,20.32,90,12,7.0,CA,1706406869
157,brooks,50.5834,-111.8851,31.98,86,14,1.14,CA,1706406869
158,bethel,41.3712,-73.414,39.76,90,40,0.0,US,1706406757
159,fortuna,40.5982,-124.1573,64.74,92,100,12.66,US,1706406414
160,lhokseumawe,5.1801,97.1507,78.4,87,100,5.23,ID,1706406870
161,cole harbour,44.6724,-63.4751,31.96,93,100,1.01,CA,1706406870
162,mountain home,43.133,-115.6912,44.08,80,40,12.66,US,1706406373
163,holualoa,19.6228,-155.9522,76.84,76,20,16.11,US,1706406405
164,palmer,42.1584,-72.3287,38.75,83,100,5.75,US,1706406803
165,tamanrasset,22.785,5.5228,55.31,15,0,4.61,DZ,1706406799
166,kingscliff,-28.2667,153.5667,82.2,89,40,5.75,AU,1706406417
167,codrington,-38.2667,141.9667,74.34,54,75,12.28,AU,1706406759
168,lichtenegg,47.5804,16.2155,32.23,74,2,4.54,AT,1706406871
169,colonia,50.9333,6.95,36.86,77,0,4.61,DE,1706406745
170,al jawf,29.5,38.75,44.38,75,6,4.72,SA,1706406789
171,tyukhtet,56.5389,89.3011,0.36,97,96,5.88,RU,1706406871
172,chubek,37.6137,69.7061,50.07,78,100,3.36,TJ,1706406871
173,obihiro,42.9172,143.2044,26.01,76,91,2.57,JP,1706406871
174,alaghsas,17.0187,8.0168,62.67,25,0,16.06,NE,1706406790
175,kingston,17.997,-76.7936,79.75,74,20,14.97,JM,1706406871
176,san pedro pochutla,15.7333,-96.4667,75.9,67,4,2.77,MX,1706406872
177,papatowai,-46.5619,169.4708,61.18,69,100,9.98,NZ,1706406758
178,motala,58.5371,15.0365,42.12,89,100,15.32,SE,1706406872
179,sungai penuh,-2.0833,101.3833,68.2,92,99,2.39,ID,1706406872
180,sisimiut,66.9395,-53.6735,-13.32,93,91,7.99,GL,1706406373
181,thompson,55.7435,-97.8558,23.16,100,100,8.05,CA,1706406777
182,mao,39.8885,4.2658,50.56,93,0,6.91,ES,1706406872
183,sitka,57.0531,-135.33,44.49,93,100,10.36,US,1706406757
184,cheremushki,52.8356,91.3944,-1.3,88,96,4.18,RU,1706406873
185,nampa,43.5407,-116.5635,45.68,89,0,0.0,US,1706406873
186,awjilah,29.1081,21.2869,52.23,76,0,5.59,LY,1706406873
187,camana,-16.6228,-72.7111,74.1,83,66,5.82,PE,1706406398
188,sechura,-5.5569,-80.8222,77.65,73,95,11.81,PE,1706406873
189,kananga,-5.8958,22.4178,70.93,91,100,1.03,CD,1706406873
190,antalaha,-14.9003,50.2788,73.22,92,9,3.78,MG,1706406873
191,stephenville,32.2207,-98.2023,49.87,72,0,5.75,US,1706406353
192,brak,27.5496,14.2714,54.75,45,0,8.32,LY,1706406874
193,mena,51.5217,32.2157,28.58,96,100,8.08,UA,1706406874
194,whitehorse,60.7161,-135.0538,34.11,92,75,15.01,CA,1706406770
195,nouadhibou,20.931,-17.0347,67.98,45,11,12.66,MR,1706406874
